2756	2.02299	48.7471	177	16	16	1
676	2.21053	13.9474	43	12	12	1
324	2	6.90909	23	10	10	1
478	2.13333	9.8	33	11	11	1
742	1.88462	14.3462	50	13	13	1
10263	2.06211	174.193	665	19	19	1
1024	2.2	20.9333	67	14	14	1
541	2.11765	11.0588	37	13	13	1
614	2.04762	12.7619	44	13	13	1
952	2.15625	21.4062	70	14	14	1
460	2.13333	10.2	33	11	11	1
356	2.18182	8.27273	25	10	10	1
358	2.27273	9.09091	26	10	10	1
10074	2.09898	158.352	616	19	19	1
2190	2.08108	41.0405	155	17	17	1
578	2.23529	12.8235	39	12	12	1
2181	2.12329	42.863	156	17	17	1
9515	2.01881	158.423	645	22	22	1
549	1.94444	9.55556	36	14	14	1
482	2.1875	11.0625	36	11	11	1
988	2.17647	21.1765	75	15	15	1
948	2.15625	19.6562	70	13	13	1
330	2.18182	8.36364	25	10	10	1
582	1.95238	11.9048	42	16	16	1
9196	2.11071	151.432	592	21	21	1
1239	2.11111	27.0444	96	15	15	1
480	2	8.85714	29	11	11	1
9628	2.05722	189.717	756	21	21	1
18835	2.10379	376.259	1501	21	21	1
1080	2.17143	20.8857	77	15	15	1
