178	1.71429	3.71429	13	1
170	1.71429	3.71429	13	1
128	1.42857	3.14286	11	1
559	1.72	9.96	44	1
3231	1.69444	49.3194	245	1
565	1.84	11.36	47	1
158	1.71429	3.71429	13	1
558	1.83333	11.2083	45	1
328	1.73333	7.06667	27	1
167	1.71429	3.71429	13	1
363	1.73333	7.33333	27	1
2330	1.68571	36.5143	178	1
440	1.83333	6.83333	23	1
168	1.71429	3.71429	13	1
154	1.71429	4.85714	13	1
1120	1.75	19.5208	85	1
151	1.71429	4.28571	13	1
1157	1.70588	19.9608	88	1
284	1.90909	6.90909	22	1
622	1.6	11	49	1
339	1.73333	6.93333	27	1
206	1.71429	3.71429	13	1
364	1.78571	6.92857	26	1
460	1.6	8.75	33	1
259	1.90909	6.90909	22	1
161	1.71429	4.28571	13	1
420	1.6	9.05	33	1
300	1.78571	6.92857	26	1
151	1.71429	4.85714	13	1
471	1.7619	10.381	38	1
9842	1.72627	151.792	783	1
1073	1.72917	18.7083	84	1
164	1.71429	4.28571	13	1
519	1.78261	10.5652	42	1
693	1.7037	10.7037	47	1
2417	1.70093	40.4673	183	1
178	1.71429	4.28571	13	1
332	1.73333	7.06667	27	1
297	1.81818	5.72727	21	1
301	1.83333	6.83333	23	1
337	1.90909	6.90909	22	1
1985	1.69412	29.9294	145	1
153	1.71429	4.28571	13	1
704	1.78261	10.4348	42	1
288	1.90909	6.90909	22	1
184	1.42857	3.14286	11	1
1337	1.77586	22.3621	104	1
344	1.73333	6.93333	27	1
336	1.92308	6.69231	26	1
478	1.85	9.75	38	1
348	1.78571	6.92857	26	1
388	1.92308	6.61538	26	1
479	1.73684	9	34	1
541	1.81818	10.7727	41	1
303	1.83333	7	23	1
1611	1.68493	26.2877	124	1
337	1.78571	7	26	1
355	1.73333	7	27	1
168	1.71429	4.28571	13	1
9723	1.6809	137.607	749	1
275	1.81818	5.72727	21	1
705	1.71875	13.2812	56	1
305	1.83333	7	23	1
5825	1.70787	88.6629	457	1
3607	1.70886	53.3481	271	1
9578	1.69912	141.668	769	1
432	1.73333	7	27	1
525	1.68182	9.72727	38	1
19789	1.68466	288.383	1593	1
2332	1.73832	37.4206	187	1
1424	1.74603	24.5556	111	1
9178	1.71789	139.709	750	1
4801	1.68354	80.4726	400	1
2273	1.72	35.3	173	1
1913	1.7875	30.8	144	1
1079	1.77778	17.8	81	1
744	1.75758	14.5758	59	1
1001	1.80435	19.2391	84	1
789	1.63333	12.4	50	1
1899	1.7033	32.9341	156	1
1520	1.75385	25.5231	115	1
383	1.76471	8.58823	31	1
705	1.70968	13.1613	54	1
397	1.66667	8.16667	31	1
1002	1.77778	18.5111	81	1
2000	1.7381	29.2143	147	1
663	1.80769	11.8846	48	1
1684	1.73077	29.9615	136	1
471	1.85	10	38	1
954	1.74419	17.9302	76	1
560	1.7619	9.71429	38	1
784	1.83333	11.375	45	1
450	1.68421	8.05263	33	1
2176	1.72165	36.9794	168	1
651	1.67857	11.6071	48	1
505	1.68182	9.90909	38	1
422	1.73333	7.06667	27	1
4346	1.72857	71.5429	364	1
560	1.72	9.92	44	1
580	1.83333	11.125	45	1
