7572	2.04502	166.36	637	16	16	1
1179	2.11364	27.4091	94	12	12	1
275	2	6.90909	23	10	10	1
761	2.43478	16.6087	57	11	11	1
1414	2.01818	30.8364	112	13	13	1
60452	2.14343	1086.33	4305	19	19	1
4756	2.14765	85.1007	321	14	14	1
2803	2.16667	42.6667	157	13	13	1
1799	2.10204	30	104	13	13	1
4603	2.12397	71.4628	258	14	14	1
673	2.1	12.95	43	11	11	1
431	2.18182	8.27273	25	10	10	1
398	2.27273	9.09091	26	10	10	1
72286	2.12999	1048.66	4212	19	19	1
17113	2.1322	260.386	1001	17	17	1
1525	2.13889	22.3056	78	12	12	1
16915	2.18697	262.124	1042	17	17	1
133424	2.12693	2173.62	8815	22	22	1
3316	2.125	41.5972	154	14	14	1
686	2.15	13.25	44	11	11	1
6018	2.1375	92.3562	343	15	15	1
2263	2.21667	37.9667	134	13	13	1
430	2.18182	8.36364	25	10	10	1
9144	2.11583	142.367	549	16	16	1
221441	2.12659	3951.28	16010	21	21	1
4513	2.10405	94.4277	365	15	15	1
492	1.94444	10.2222	36	11	11	1
292349	2.09819	4561.93	18677	21	21	1
173115	2.1113	2729.14	11269	21	21	1
5094	2.1369	95.0536	360	15	15	1
