12475	2.03093	343.714	1380	16	16	1
1697	2.04444	49.2	185	12	12	1
251	2	9.46667	31	10	10	1
942	2.19231	34.3846	115	11	11	1
1633	1.98	52.91	199	13	13	1
72560	2.06965	2151.53	8797	19	19	1
7886	2.09071	234.44	946	14	14	1
3381	2.06897	95.2414	361	13	13	1
1901	2.11538	44.2436	166	13	13	1
6798	2.13699	158.654	625	14	14	1
1980	2.13636	26.1364	95	11	11	1
1139	2.17241	19	64	10	10	1
1367	2.26667	21.7	69	10	10	1
354760	2.07229	4113.65	17143	19	19	1
27016	2.03262	767.827	3117	17	17	1
1379	2.09722	41.7222	152	12	12	1
16770	2.08755	493.103	1980	17	17	1
219213	2.0387	6282.75	26657	22	22	1
3090	2.06429	76.3857	290	14	14	1
956	2.07692	30.4808	109	11	11	1
5060	2.09302	160.385	631	15	15	1
3000	2.05357	93.8571	346	13	13	1
448	2.16667	16.7917	53	10	10	1
10736	2.10124	300.439	1184	16	16	1
162148	2.06747	4690.56	19582	21	21	1
8014	2.0824	282.552	1113	15	15	1
656	2	23.15	81	11	11	1
365953	2.06811	10787.4	45578	21	21	1
412780	2.07935	10261.2	43054	21	21	1
7480	2.08108	203.676	771	15	15	1
