5715	2.01389	77.1667	291	16	16	1
1722	2.05714	22	73	12	12	1
336	2	6.90909	23	10	10	1
527	2.1875	10.3125	36	11	11	1
995	1.94118	19.3235	67	13	13	1
20289	2.08795	326.783	1283	19	19	1
2535	2.06667	36.7833	125	14	14	1
1201	2.11765	19.7647	73	13	13	1
1454	2.13514	22.5946	80	13	13	1
2093	2.09524	36.9365	133	14	14	1
863	2.05263	11.8421	40	11	11	1
441	2.18182	8.27273	25	10	10	1
385	2.27273	9.09091	26	10	10	1
21932	2.09716	352.227	1404	19	19	1
8289	2.1039	126.472	487	17	17	1
1022	2.15385	17.6154	57	12	12	1
4433	2.1	83.2067	316	17	17	1
20379	2.08095	323.021	1312	22	22	1
1212	2.03226	17.6774	64	14	14	1
767	2.15	13.25	44	11	11	1
1716	2.18868	32.9057	117	15	15	1
1989	2.22642	33.283	119	13	13	1
402	2.18182	8.36364	25	10	10	1
1445	2.1087	26.5217	98	16	16	1
39561	2.08875	579.183	2284	21	21	1
3484	2.04762	59.219	216	15	15	1
559	1.94118	9.70588	34	11	11	1
46722	2.07396	674.927	2749	21	21	1
49706	2.09232	695.971	2834	21	21	1
2982	2.125	42.2222	154	15	15	1
