1082	1.66667	27.1528	121	1
862	1.74074	20.7593	95	1
1032	1.68571	26.5286	119	1
8979	1.6869	200.644	1057	1
56569	1.77168	998.335	5681	1
5422	1.77816	98.8942	522	1
1451	1.69444	27.6528	123	1
8404	1.7109	140.114	723	1
5394	1.81013	58.481	287	1
2243	1.70423	27.3239	122	1
7357	1.64542	87.2829	414	1
156332	1.67883	1405.11	7638	1
2566	1.77778	47.8175	225	1
1941	1.7	23.05	103	1
5436	1.63934	44.2131	201	1
24112	1.72741	414.547	2257	1
1531	1.74627	25.9104	118	1
24241	1.70121	445.422	2398	1
2175	1.79675	47.0732	222	1
10530	1.68339	201.751	1075	1
2711	1.81818	57.2857	281	1
1379	1.6988	30.5783	142	1
3890	1.69231	82.0128	397	1
6090	1.73425	123.192	634	1
2016	1.77165	48.0709	226	1
1238	1.65854	30.0976	137	1
6842	1.75	129.602	673	1
3864	1.68966	82.069	393	1
1994	1.65517	42.8017	193	1
6769	1.71163	142.363	737	1
244720	1.74368	3973.76	24688	1
28447	1.67848	478.198	2559	1
1516	1.71642	25.4627	116	1
7238	1.6875	147.792	757	1
10300	1.67732	198.588	1051	1
38973	1.74731	703.567	3901	1
1407	1.69663	32.1798	152	1
4427	1.68644	83.1017	399	1
3199	1.74112	71.132	344	1
2609	1.69182	58.0755	270	1
2135	1.75969	48.7674	228	1
58416	1.77219	1038.72	5890	1
1304	1.7013	28.6234	132	1
5945	1.74238	121.942	630	1
1940	1.82883	42.3514	204	1
948	1.73077	20.3269	91	1
19825	1.77897	352.469	1997	1
4132	1.64925	90.2537	443	1
4547	1.64122	89.2252	431	1
7622	1.67982	149.395	767	1
2602	1.8	59.4938	289	1
3344	1.7929	62.6272	304	1
8651	1.66807	154.254	795	1
6590	1.72019	137.754	708	1
2423	1.71523	56.1921	260	1
59990	1.76595	1116.64	6286	1
3661	1.675	84.6917	403	1
2667	1.8125	58.8187	291	1
2033	1.7191	33.1124	154	1
140470	1.75358	2400.63	14070	1
3811	1.67782	84.4393	402	1
12564	1.66007	257.209	1344	1
3010	1.68605	62.2616	291	1
193663	1.68829	3312.06	19732	1
64834	1.77621	1185.62	6811	1
294614	1.7172	4850.26	30258	1
4162	1.66939	84.8204	410	1
7306	1.66379	151.769	773	1
463324	1.74858	7311.55	51266	1
60007	1.75501	1211.47	6742	1
23212	1.69074	462.88	2483	1
282730	1.70759	4933.9	30700	1
141013	1.67203	2242.36	12680	1
65288	1.69198	1371.9	7488	1
43504	1.70463	882.075	4820	1
22675	1.69931	458.006	2465	1
10753	1.79713	182.724	1002	1
26211	1.67984	476.597	2551	1
13328	1.75904	266.33	1461	1
67321	1.69151	1372.65	7491	1
58259	1.76923	1158.81	6510	1
6888	1.69058	147.271	755	1
10406	1.74168	208.108	1100	1
6363	1.71046	137.017	704	1
26978	1.675	541.428	2949	1
49898	1.66467	1012.19	5551	1
5100	1.7767	104.683	550	1
33817	1.70219	702.82	3739	1
6994	1.69388	145.946	748	1
25405	1.66829	509.722	2742	1
7352	1.74561	149.671	797	1
7675	1.72577	158.798	838	1
7398	1.71968	164.237	866	1
43303	1.70095	913.641	5029	1
10543	1.67061	211.97	1132	1
6868	1.68889	147.847	761	1
3364	1.70485	81.2511	388	1
137742	1.71524	2621.7	15138	1
7029	1.73617	154.149	817	1
7057	1.77273	144.323	781	1
