229	1.85714	7.92857	27	7	7	1	1
592	1.78378	14.6757	67	10	10	1	1
114	1.71429	3.71429	13	6	6	1	1
116	1.71429	4.28571	13	6	6	1	1
195	1.83333	7	23	7	7	1	1
504	1.84615	11.9231	49	9	9	1	1
267	1.85714	7.92857	27	7	7	1	1
114	1.71429	4.85714	13	6	6	1	1
121	1.71429	3.71429	13	6	6	1	1
96	1.42857	3.14286	11	6	6	1	1
872	1.77193	23.386	102	11	11	1	1
246	1.8	7.46667	28	8	8	1	1
253	1.93333	8	30	8	8	1	1
108	1.71429	3.71429	13	6	6	1	1
407	1.88	12	48	9	9	1	1
254	1.75	7.5625	29	8	8	1	1
108	1.71429	3.71429	13	6	6	1	1
434	1.66667	12.4	51	9	9	1	1
340	1.76471	7.82353	31	8	8	1	1
218	1.78571	6.71429	26	8	8	1	1
92	1.42857	3.14286	11	6	6	1	1
1180	1.6988	30.988	142	12	12	1	1
105	1.71429	4.28571	13	6	6	1	1
262	1.76471	7.76471	31	8	8	1	1
110	1.71429	3.71429	13	6	6	1	1
612	1.8	16.475	73	10	10	1	1
235	1.73333	6.93333	27	8	8	1	1
453	1.75862	12.1724	52	9	9	1	1
1548	1.75532	34.2553	166	12	12	1	1
377	1.73077	11.0385	46	9	9	1	1
458	1.70968	12.4839	54	9	9	1	1
104	1.71429	4.28571	13	6	6	1	1
400	1.7037	12.2222	47	9	9	1	1
249	1.8	7.46667	28	8	8	1	1
128	1.71429	4.28571	13	6	6	1	1
587	1.76316	16.7105	68	10	10	1	1
109	1.71429	4.85714	13	6	6	1	1
190	1.83333	6.83333	23	7	7	1	1
467	1.86207	13.5862	55	9	9	1	1
542	1.71429	11.8929	49	9	9	1	1
3055	1.70093	71.0888	365	14	14	1	1
3736	1.75697	86.7211	442	14	14	1	1
256	1.75	7.3125	29	8	8	1	1
107	1.71429	3.71429	13	6	6	1	1
1286	1.73864	32.7841	154	12	12	1	1
1249	1.7561	31.3293	145	12	12	1	1
471	1.66667	12.5667	51	9	9	1	1
697	1.76923	17.1795	70	10	10	1	1
279	1.8125	7.375	30	8	8	1	1
211	1.91667	7.41667	24	7	7	1	1
234	1.73333	7.2	27	8	8	1	1
277	1.83333	6.83333	23	7	7	1	1
386	1.69231	11.8846	45	9	9	1	1
111	1.71429	4.28571	13	6	6	1	1
1462	1.75	37.24	176	12	12	1	1
256	1.76471	8.17647	31	8	8	1	1
116	1.71429	4.28571	13	6	6	1	1
268	1.83333	7	23	7	7	1	1
222	1.78571	6.71429	26	8	8	1	1
277	1.93333	8	30	8	8	1	1
783	1.7561	16.6829	73	10	10	1	1
450	1.84	12.4	47	9	9	1	1
811	1.71111	17.3778	78	10	10	1	1
253	1.91667	7.41667	24	7	7	1	1
3271	1.73636	76.3455	383	14	14	1	1
256	1.8125	7.5625	30	8	8	1	1
698	1.8	18.6889	82	10	10	1	1
1056	1.78125	25.5781	115	11	11	1	1
480	1.83333	14.1	56	9	9	1	1
1334	1.72941	31.1059	148	12	12	1	1
355	1.76471	8.11765	31	8	8	1	1
658	1.71111	16.8222	78	10	10	1	1
701	1.8	18.6667	82	10	10	1	1
1459	1.74	37.41	175	12	12	1	1
1168	1.7375	30.175	140	12	12	1	1
2316	1.71951	59.5549	283	13	13	1	1
5992	1.70922	136.754	724	16	16	1	1
8167	1.7227	187.951	995	16	16	1	1
1117	1.68354	28.9494	134	12	12	1	1
609	1.82051	17.6667	72	10	10	1	1
696	1.7561	16.9756	73	10	10	1	1
871	1.7931	23.4138	105	11	11	1	1
1272	1.7	31.4333	154	12	12	1	1
11817	1.73422	268.351	1430	17	17	1	1
825	1.79245	21.434	96	11	11	1	1
446	1.75862	12.7241	52	9	9	1	1
4935	1.74859	115.76	620	15	15	1	1
3460	1.70539	82.7718	412	14	14	1	1
552	1.74194	13.1935	55	9	9	1	1
471	1.74194	13.0323	55	9	9	1	1
545	1.77778	14.0556	65	10	10	1	1
1254	1.74713	32.4483	153	12	12	1	1
12745	1.7385	290.787	1550	17	17	1	1
466	1.88	12.52	48	9	9	1	1
649	1.72093	16.3953	75	10	10	1	1
857	1.8	22.7091	100	11	11	1	1
746	1.79592	20.4898	89	10	10	1	1
3315	1.75214	77.8419	411	14	14	1	1
1393	1.79787	37.0319	170	12	12	1	1
1453	1.74747	38.2222	174	12	12	1	1
